"Data Source","World Development Indicators",

"Last Updated Date","2026-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.2900009155273","","","","","","","","","","96.8199996948242","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","56.8461494445801","57.2477493286133","57.6048393249512","58.1498794555664","58.1818313598633","58.4592208862305","58.884578704834","59.3387413024902","59.8654403686523","60.3634490966797","61.0568313598633","61.2734794616699","62.1533317565918","62.666618347168","63.1577606201172","63.8376197814941","64.3340606689453","64.5749130249023","63.9414710998535","61.9459114074707","62.9699592590332","63.2282295227051","63.9608116149902","64.7143630981445","66.8281402587891","68.5151901245117","69.3683166503906","69.8328170776367","70.2378387451172","70.9572677612305","70.8797302246094","71.6701889038086","72.8010787963867","72.9768905639648","72.7159729003906","73.0559768676758","73.3681411743164","73.6951293945312",
"Afghanistan","AFG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","18.1599998474121","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.4500007629394","","","","33.75","","","","","35.9865546430738","37.2700004577637","","","",
"Africa Western and Central","AFW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","40.234790802002","40.5111618041992","41.2768898010254","41.9626502990723","42.7605094909668","43.5425109863281","44.3483009338379","45.1378898620605","45.9790191650391","46.8628883361816","47.0360107421875","47.9012603759766","48.9060592651367","50.2893218994141","51.1494598388672","47.6228103637695","48.8175086975098","49.5582504272461","50.1448593139648","51.4858207702637","51.6088981628418","52.296558380127","50.3038215637207","50.7501983642578","50.8471183776855","51.3876495361328","52.4428787231445","53.0023918151855","53.8403511047363","54.5429992675781","55.4100189208984","55.8716201782227","56.8785209655762","60.3549499511719","60.1363906860352","60.2528114318848","60.5108909606934","60.7809791564941","61.0263595581055","61.1739692687988",
"Angola","AGO","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.4100036621094","","","","","","","","","","","","","66.0299987792969","66.2399978637695","","","","","","","","","",
"Albania","ALB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7099990844727","","","","","","","95.9400024414062","","","96.8499984741211","97.25","","","","","98.8199996948242","","","","","","97.6800003051758","",
"Andorra","AND","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","48.3199615478516","48.8503608703613","49.3818702697754","50.0884895324707","50.195011138916","50.947868347168","51.687198638916","52.4306297302246","53.164379119873","54.089241027832","54.9971809387207","55.965030670166","56.873950958252","57.8473510742188","58.5308685302734","59.3326797485352","60.1714096069336","61.1766090393066","62.1849403381348","63.2802886962891","64.2486190795898","65.1564178466797","66.2500228881836","67.2863006591797","69.9872817993164","70.8601379394531","71.431022644043","69.2106704711914","70.038688659668","70.9029388427734","71.9495315551758","72.5591812133789","74.2926483154297","75.1664123535156","76.2231979370117","76.3133087158203","77.1500396728516","75.9190979003906","76.5930099487305","76.9097137451172","77.149772644043","77.5577621459961","77.8672409057617","78.2719268798828","78.616569519043","78.9864273071289",
"United Arab Emirates","ARE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","53.5099983215332","","","","","","","","","","71.2399978637695","","","","","","","","","","","","","","","","","","","","90.0299987792969","","","","","","","","","","","","","","97.7799987792969","","98.129997253418","98.2900009155273","98.0599975585938","98.8099975585938",
"Argentina","ARG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","93.9100036621094","","","","","","","","","","","96.0400009155273","","","","","","","","","","97.1900024414062","","","","","","","","","","","","","","","","","","","99.1399993896484","","","","",
